MT    36
    1    1     -12.666000     -12.666000
  4
   0.001 -9.4016E-05  6.9950E-05  6.0537E-04 -6.0575E-04 -6.0464E-04  6.0605E-04  1.0502E-04 -8.0212E-05  4.2812E-05  4.2812E-05  4.2812E-05  4.2812E-05  4.2812E-05  4.2812E-05  4.2812E-05  4.2812E-05
    0.01 -2.6607E-04  6.2436E-05  1.8984E-03 -1.9048E-03 -1.8947E-03  1.9151E-03  2.9811E-04 -8.8669E-05  1.3458E-04  1.3458E-04  1.3458E-04  1.3458E-04  1.3458E-04  1.3458E-04  1.3458E-04  1.3458E-04
     0.1 -1.8101E-04 -3.2746E-04  5.7115E-03 -6.9946E-03 -5.6983E-03  7.1323E-03  2.4929E-04  2.2983E-04  4.5398E-04  4.5398E-04  4.5398E-04  4.5398E-04  4.5398E-04  4.5398E-04  4.5398E-04  4.5398E-04
       1  1.1118E-04 -1.1945E-03  2.0329E-02 -2.5178E-02 -2.0381E-02  2.6987E-02  3.8794E-04  7.4504E-04  1.6541E-03  1.6541E-03  1.6541E-03  1.6541E-03  1.6541E-03  1.6541E-03  1.6541E-03  1.6541E-03
    2    2     -12.666000      -8.666000
  4
   0.001 -9.5131E-05  6.9952E-05  6.0173E-04 -6.0147E-04 -5.2740E-04  5.4575E-04  9.5688E-05 -7.0694E-05  4.0178E-05  4.0178E-05  4.0178E-05  4.0178E-05  4.0178E-05  4.0178E-05  4.0178E-05  4.0178E-05
    0.01 -2.7010E-04  5.6696E-05  1.8789E-03 -1.8850E-03 -1.6669E-03  1.8351E-03  2.7224E-04 -5.7701E-05  1.2843E-04  1.2843E-04  1.2843E-04  1.2843E-04  1.2843E-04  1.2843E-04  1.2843E-04  1.2843E-04
     0.1 -2.3480E-04 -4.7736E-04  5.4413E-03 -7.2309E-03 -5.2672E-03  7.5454E-03  2.7467E-04  5.0033E-04  4.5627E-04  4.5627E-04  4.5627E-04  4.5627E-04  4.5627E-04  4.5627E-04  4.5627E-04  4.5627E-04
       1 -1.3740E-04 -2.8392E-03  2.0042E-02 -2.9067E-02 -1.9969E-02  3.0903E-02  3.6267E-04  3.7033E-03  1.8021E-03  1.8021E-03  1.8021E-03  1.8021E-03  1.8021E-03  1.8021E-03  1.8021E-03  1.8021E-03
    3    3     -12.666000      -4.666000
  4
   0.001 -4.7694E-05  2.9659E-05  6.0763E-04 -6.0629E-04 -4.4888E-04  4.8099E-04  5.8238E-05 -4.3624E-05  3.7574E-05  3.7574E-05  3.7574E-05  3.7574E-05  3.7574E-05  3.7574E-05  3.7574E-05  3.7574E-05
    0.01 -1.3219E-04 -2.2102E-05  1.8916E-03 -1.8909E-03 -1.4352E-03  1.7187E-03  1.6530E-04 -4.2313E-05  1.2236E-04  1.2236E-04  1.2236E-04  1.2236E-04  1.2236E-04  1.2236E-04  1.2236E-04  1.2236E-04
     0.1 -6.1367E-05 -6.6476E-04  5.3551E-03 -7.4136E-03 -4.8016E-03  7.6274E-03  1.4901E-04  2.3654E-04  4.5395E-04  4.5395E-04  4.5395E-04  4.5395E-04  4.5395E-04  4.5395E-04  4.5395E-04  4.5395E-04
       1 -5.5929E-05 -5.1760E-03  2.0634E-02 -3.1227E-02 -1.9527E-02  3.1916E-02 -2.9136E-04  1.0091E-03  1.8711E-03  1.8711E-03  1.8711E-03  1.8711E-03  1.8711E-03  1.8711E-03  1.8711E-03  1.8711E-03
    4    4     -12.666000       5.333000
  4
   0.001  6.9221E-05 -5.3602E-05  6.1805E-04 -6.1046E-04 -4.5997E-04  4.8707E-04 -4.1859E-05  3.2102E-05  3.8144E-05  3.8144E-05  3.8144E-05  3.8144E-05  3.8144E-05  3.8144E-05  3.8144E-05  3.8144E-05
    0.01  1.9622E-04 -5.7695E-05  1.9210E-03 -1.8636E-03 -1.4713E-03  1.6995E-03 -1.1452E-04  3.5042E-05  1.2264E-04  1.2264E-04  1.2264E-04  1.2264E-04  1.2264E-04  1.2264E-04  1.2264E-04  1.2264E-04
     0.1  1.1504E-04  1.0364E-04  5.4124E-03 -6.9939E-03 -4.9598E-03  7.1988E-03 -3.0441E-05  2.9097E-05  4.3963E-04  4.3963E-04  4.3963E-04  4.3963E-04  4.3963E-04  4.3963E-04  4.3963E-04  4.3963E-04
       1 -1.2525E-04 -7.2937E-04  2.0336E-02 -2.7024E-02 -2.0531E-02  2.6257E-02  1.5275E-04  1.4382E-03  1.6788E-03  1.6788E-03  1.6788E-03  1.6788E-03  1.6788E-03  1.6788E-03  1.6788E-03  1.6788E-03
    5    5     -12.666000       9.333000
  4
