PT     36
1      1           -13         -13
4
0.001  -1.012E+00  -3.642E-02  -4.442E-02  -9.987E-01  5.026E-02   5.026E-02   5.026E-02   5.026E-02
0.01   -1.034E+00  -9.728E-02  -1.191E-01  -9.951E-01  5.072E-02   5.072E-02   5.072E-02   5.072E-02
0.1    -1.256E+00  -6.141E-02  -9.866E-02  -1.175E+00  6.074E-02   6.074E-02   6.074E-02   6.074E-02
1      -1.301E+00  -7.916E-03  -1.815E-02  -1.152E+00  6.123E-02   6.123E-02   6.123E-02   6.123E-02
2      2           -13         -9
4
0.001  -1.043E+00  -3.621E-02  -4.724E-02  -9.913E-01  5.083E-02   5.083E-02   5.083E-02   5.083E-02
0.01   -1.120E+00  -9.917E-02  -1.273E-01  -9.777E-01  5.232E-02   5.232E-02   5.232E-02   5.232E-02
0.1    -1.434E+00  -1.040E-01  -1.430E-01  -1.238E+00  6.662E-02   6.662E-02   6.662E-02   6.662E-02
1      -1.533E+00  -1.626E-01  -1.376E-01  -1.356E+00  7.209E-02   7.209E-02   7.209E-02   7.209E-02
3      3           -13         -5
4
0.001  -1.072E+00  -1.275E-02  -2.900E-02  -9.777E-01  5.119E-02   5.119E-02   5.119E-02   5.119E-02
0.01   -1.192E+00  -3.314E-02  -7.686E-02  -9.381E-01  5.287E-02   5.287E-02   5.287E-02   5.287E-02
0.1    -1.485E+00  -1.306E-02  -8.632E-02  -1.201E+00  6.676E-02   6.676E-02   6.676E-02   6.676E-02
1      -1.292E+00  1.993E-02   -1.011E-02  -1.219E+00  6.274E-02   6.274E-02   6.274E-02   6.274E-02
4      4           -13         5
4
0.001  -1.060E+00  2.388E-02   3.506E-02   -9.855E-01  5.110E-02   5.110E-02   5.110E-02   5.110E-02
0.01   -1.156E+00  6.239E-02   9.734E-02   -9.617E-01  5.272E-02   5.272E-02   5.272E-02   5.272E-02
0.1    -1.426E+00  3.464E-02   8.551E-02   -1.241E+00  6.653E-02   6.653E-02   6.653E-02   6.653E-02
1      -1.235E+00  -1.618E-02  2.069E-02   -1.223E+00  6.146E-02   6.146E-02   6.146E-02   6.146E-02
5      5           -13         9
4
0.001  -1.020E+00  3.365E-02   3.511E-02   -9.873E-01  5.017E-02   5.017E-02   5.017E-02   5.017E-02
0.01   -1.049E+00  8.996E-02   9.724E-02   -9.655E-01  5.033E-02   5.033E-02   5.033E-02   5.033E-02
0.1    -1.254E+00  6.085E-02   3.992E-02   -1.185E+00  6.094E-02   6.094E-02   6.094E-02   6.094E-02
1      -1.172E+00  8.202E-03   -1.149E-01  -1.192E+00  5.908E-02   5.908E-02   5.908E-02   5.908E-02
6      6           -13         13
4
0.001  -1.003E+00  3.563E-02   4.070E-02   -1.001E+00  5.010E-02   5.010E-02   5.010E-02   5.010E-02
0.01   -1.005E+00  9.594E-02   1.170E-01   -1.002E+00  5.018E-02   5.018E-02   5.018E-02   5.018E-02
0.1    -1.178E+00  5.705E-02   9.749E-02   -1.185E+00  5.907E-02   5.907E-02   5.907E-02   5.907E-02
1      -1.165E+00  1.020E-02   4.339E-02   -1.178E+00  5.856E-02   5.856E-02   5.856E-02   5.856E-02
7      7           -9          -13
4
0.001  -1.007E+00  -3.530E-02  -4.187E-02  -1.023E+00  5.075E-02   5.075E-02   5.075E-02   5.075E-02
0.01   -1.023E+00  -9.395E-02  -1.112E-01  -1.061E+00  5.210E-02   5.210E-02   5.210E-02   5.210E-02
0.1    -1.323E+00  -6.881E-02  -8.393E-02  -1.302E+00  6.563E-02   6.563E-02   6.563E-02   6.563E-02
1      -1.427E+00  -1.870E-02  1.276E-02   -1.206E+00  6.559E-02   6.559E-02   6.559E-02   6.559E-02
8      8           -9          -9
4
0.001  -1.038E+00  -2.400E-02  -4.383E-02  -1.017E+00  5.136E-02   5.136E-02   5.136E-02   5.136E-02
0.01   -1.104E+00  -6.296E-02  -1.136E-01  -1.045E+00  5.370E-02   5.370E-02   5.370E-02   5.370E-02
0.1    -1.473E+00  -2.533E-02  -1.016E-01  -1.379E+00  7.127E-02   7.127E-02   7.127E-02   7.127E-02
1      -1.369E+00  -9.664E-03  -1.549E-02  -1.277E+00  6.612E-02   6.612E-02   6.612E-02   6.612E-02
9      9           -9          -5
4
0.001  -1.085E+00  -8.153E-03  -2.519E-02  -1.017E+00  5.252E-02   5.252E-02   5.252E-02   5.252E-02
0.01   -1.224E+00  -1.685E-02  -6.055E-02  -1.045E+00  5.656E-02   5.656E-02   5.656E-02   5.656E-02
0.1    -1.663E+00  5.755E-02   -1.852E-02  -1.451E+00  7.768E-02   7.768E-02   7.768E-02   7.768E-02
1      -1.432E+00  1.443E-01   7.975E-02   -1.278E+00  6.765E-02   6.765E-02   6.765E-02   6.765E-02
10     10          -9          5
4
0.001  -1.069E+00  3.653E-02   3.811E-02   -1.013E+00  5.202E-02   5.202E-02   5.202E-02   5.202E-02
0.01   -1.175E+00  9.187E-02   1.018E-01   -1.032E+00  5.505E-02   5.505E-02   5.505E-02   5.505E-02
0.1    -1.536E+00  7.158E-02   8.787E-02   -1.363E+00  7.235E-02   7.235E-02   7.235E-02   7.235E-02
1      -1.226E+00  -3.581E-02  1.395E-03   -1.118E+00  5.855E-02   5.855E-02   5.855E-02   5.855E-02
11     11          -9          9
4
0.001  -1.024E+00  4.377E-02   4.520E-02   -1.020E+00  5.110E-02   5.110E-02   5.110E-02   5.110E-02
0.01   -1.061E+00  1.148E-01   1.236E-01   -1.051E+00  5.280E-02   5.280E-02   5.280E-02   5.280E-02
0.1    -1.357E+00  9.338E-02   1.093E-01   -1.327E+00  6.709E-02   6.709E-02   6.709E-02   6.709E-02
1      -1.206E+00  1.133E-02   2.674E-02   -1.147E+00  5.882E-02   5.882E-02   5.882E-02   5.882E-02
12     12          -9          13
4
0.001  -1.001E+00  4.254E-02   3.923E-02   -1.025E+00  5.065E-02   5.065E-02   5.065E-02   5.065E-02
0.01   -1.002E+00  1.167E-01   1.115E-01   -1.071E+00  5.178E-02   5.178E-02   5.178E-02   5.178E-02
0.1    -1.265E+00  1.076E-01   1.019E-01   -1.302E+00  6.419E-02   6.419E-02   6.419E-02   6.419E-02
1      -1.291E+00  8.535E-02   5.192E-02   -1.242E+00  6.333E-02   6.333E-02   6.333E-02   6.333E-02
13     13          -5          -13
4
0.001  -9.920E-01  -2.632E-02  -2.831E-02  -1.058E+00  5.122E-02   5.122E-02   5.122E-02   5.122E-02
0.01   -9.811E-01  -6.874E-02  -7.351E-02  -1.151E+00  5.313E-02   5.313E-02   5.313E-02   5.313E-02
0.1    -1.267E+00  -4.345E-02  -5.298E-02  -1.407E+00  6.678E-02   6.678E-02   6.678E-02   6.678E-02
1      -1.219E+00  1.820E-02   2.354E-02   -1.146E+00  5.909E-02   5.909E-02   5.909E-02   5.909E-02
14     14          -5          -9
4
0.001  -1.027E+00  -2.857E-02  -3.346E-02  -1.065E+00  5.227E-02   5.227E-02   5.227E-02   5.227E-02
0.01   -1.073E+00  -7.147E-02  -8.403E-02  -1.166E+00  5.594E-02   5.594E-02   5.594E-02   5.594E-02
0.1    -1.475E+00  -4.385E-02  -6.308E-02  -1.554E+00  7.571E-02   7.571E-02   7.571E-02   7.571E-02
1      -1.296E+00  2.907E-02   1.062E-02   -1.217E+00  6.279E-02   6.279E-02   6.279E-02   6.279E-02
15     15          -5          -5
4
0.001  -1.084E+00  -1.606E-02  -1.925E-02  -1.078E+00  5.404E-02   5.404E-02   5.404E-02   5.404E-02
0.01   -1.215E+00  -3.843E-02  -4.459E-02  -1.197E+00  6.028E-02   6.028E-02   6.028E-02   6.028E-02
0.1    -1.689E+00  -2.750E-02  -3.739E-02  -1.671E+00  8.401E-02   8.401E-02   8.401E-02   8.401E-02
1      -1.254E+00  -5.372E-03  -6.474E-03  -1.199E+00  6.130E-02   6.130E-02   6.130E-02   6.130E-02
16     16          -5          5
4
0.001  -1.081E+00  2.873E-02   2.927E-02   -1.068E+00  5.372E-02   5.372E-02   5.372E-02   5.372E-02
0.01   -1.207E+00  7.005E-02   7.470E-02   -1.172E+00  5.945E-02   5.945E-02   5.945E-02   5.945E-02
0.1    -1.693E+00  4.256E-02   5.225E-02   -1.615E+00  8.269E-02   8.269E-02   8.269E-02   8.269E-02
1      -1.290E+00  -2.522E-02  -2.632E-02  -1.183E+00  6.177E-02   6.177E-02   6.177E-02   6.177E-02
17     17          -5          9
4
0.001  -1.025E+00  3.507E-02   3.110E-02   -1.058E+00  5.207E-02   5.207E-02   5.207E-02   5.207E-02
0.01   -1.070E+00  9.050E-02   8.479E-02   -1.149E+00  5.544E-02   5.544E-02   5.544E-02   5.544E-02
