APP_RES_AND_PHS    36
  0.1   1.0261E-02   4.4604E+01   7.7579E+01  -5.6524E+01   7.7579E+01   1.2348E+02   1.0261E-02  -1.3540E+02   3.8789E+00  -1.0000E+00   3.8789E+00   2.8660E+00   3.8789E+00   2.8660E+00   3.8789E+00  -1.0000E+00
    1   1.2465E-05  -1.3542E+02   1.0355E+02  -4.3976E+01   1.0355E+02   1.3602E+02   1.2465E-05   4.4584E+01   5.1774E+00  -1.0000E+00   5.1774E+00   2.8660E+00   5.1774E+00   2.8660E+00   5.1774E+00  -1.0000E+00
   10   7.4314E-13   9.0937E+01   1.0147E+02  -4.5833E+01   1.0147E+02   1.3417E+02   7.4314E-13  -8.9063E+01   5.0734E+00  -1.0000E+00   5.0734E+00   2.8660E+00   5.0734E+00   2.8660E+00   5.0734E+00  -1.0000E+00
   22   22       5.000000       5.000000
  5
0.001   1.6141E-01   1.4272E+02   4.1552E+01  -4.7088E+01   4.1552E+01   1.3291E+02   1.6141E-01  -3.7283E+01   2.0776E+00  -1.0000E+00   2.0776E+00   2.8660E+00   2.0776E+00   2.8660E+00   2.0776E+00  -1.0000E+00
 0.01   8.6949E-02   1.6344E+02   4.7918E+01  -4.9640E+01   4.7918E+01   1.3036E+02   8.6949E-02  -1.6561E+01   2.3959E+00  -1.0000E+00   2.3959E+00   2.8660E+00   2.3959E+00   2.8660E+00   2.3959E+00  -1.0000E+00
  0.1   1.0261E-02  -1.3540E+02   7.7579E+01  -5.6524E+01   7.7579E+01   1.2348E+02   1.0261E-02   4.4604E+01   3.8789E+00  -1.0000E+00   3.8789E+00   2.8660E+00   3.8789E+00   2.8660E+00   3.8789E+00  -1.0000E+00
    1   1.2465E-05   4.4584E+01   1.0355E+02  -4.3976E+01   1.0355E+02   1.3602E+02   1.2465E-05  -1.3542E+02   5.1774E+00  -1.0000E+00   5.1774E+00   2.8660E+00   5.1774E+00   2.8660E+00   5.1774E+00  -1.0000E+00
   10   7.4314E-13  -8.9063E+01   1.0147E+02  -4.5833E+01   1.0147E+02   1.3417E+02   7.4314E-13   9.0937E+01   5.0734E+00  -1.0000E+00   5.0734E+00   2.8660E+00   5.0734E+00   2.8660E+00   5.0734E+00  -1.0000E+00
   23   23       5.000000       9.000000
  5
0.001   3.6681E-01   1.4270E+02   4.6979E+01  -4.6827E+01   6.4470E+01   1.3447E+02   5.1807E-01  -3.7381E+01   3.2235E+00  -1.0000E+00   3.2235E+00   3.9345E+00   3.2235E+00   2.8660E+00   3.2235E+00  -1.0000E+00
 0.01   1.9873E-01   1.6361E+02   5.3337E+01  -4.9149E+01   6.5592E+01   1.3394E+02   2.8258E-01  -1.6891E+01   3.2796E+00  -1.0000E+00   3.2796E+00   3.5252E+00   3.2796E+00   2.8660E+00   3.2796E+00  -1.0000E+00
  0.1   2.2293E-02  -1.3387E+02   8.1568E+01  -5.4879E+01   8.2300E+01   1.2730E+02   3.3047E-02   4.4091E+01   4.1150E+00  -1.0000E+00   4.1150E+00   2.8917E+00   4.1150E+00   2.8660E+00   4.1150E+00  -1.0000E+00
    1   2.4983E-05   4.3745E+01   1.0244E+02  -4.4115E+01   1.0209E+02   1.3577E+02   4.5945E-05  -1.3816E+02   5.1221E+00  -1.0000E+00   5.1221E+00   2.8660E+00   5.1221E+00   2.8759E+00   5.1221E+00  -1.0000E+00
   10   2.9240E-12  -1.1407E+02   1.0147E+02  -4.5833E+01   1.0147E+02   1.3417E+02   7.8822E-12   6.8604E+01   5.0736E+00  -1.0000E+00   5.0736E+00   2.8660E+00   5.0736E+00   2.8660E+00   5.0736E+00  -1.0000E+00
   24   24       5.000000      13.000000
  5
0.001   4.2258E-01   1.4276E+02   5.5291E+01  -4.6499E+01   9.2861E+01   1.3547E+02   7.8007E-01  -3.7440E+01   4.6431E+00  -1.0000E+00   4.6431E+00   4.8171E+00   4.6431E+00   2.8660E+00   4.6431E+00  -1.0000E+00
 0.01   2.2927E-01   1.6417E+02   6.1475E+01  -4.8500E+01   8.7213E+01   1.3655E+02   4.3027E-01  -1.6873E+01   4.3606E+00  -1.0000E+00   4.3606E+00   4.0676E+00   4.3606E+00   2.8660E+00   4.3606E+00  -1.0000E+00
  0.1   2.3504E-02  -1.3033E+02   8.7526E+01  -5.2664E+01   8.8415E+01   1.3106E+02   4.8083E-02   4.5853E+01   4.4207E+00  -1.0000E+00   4.4207E+00   2.8951E+00   4.4207E+00   2.8660E+00   4.4207E+00  -1.0000E+00
    1   2.1338E-05   4.9305E+01   1.0093E+02  -4.4303E+01   1.0053E+02   1.3552E+02   6.2811E-05  -1.3423E+02   5.0467E+00  -1.0000E+00   5.0467E+00   2.8660E+00   5.0467E+00   2.8775E+00   5.0467E+00  -1.0000E+00
   10   1.7673E-12  -1.0482E+02   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   8.1576E-12   7.7079E+01   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   25   25       9.000000     -13.000000
  5
0.001   1.2443E+00  -3.7293E+01   7.1656E+01  -4.5596E+01   9.2067E+01   1.3532E+02   1.6870E+00   1.4260E+02   4.6033E+00  -1.0000E+00   4.6033E+00   3.6833E+00   4.6033E+00   2.8660E+00   4.6033E+00  -1.0000E+00
 0.01   6.7943E-01  -1.6055E+01   7.3925E+01  -4.6309E+01   8.7757E+01   1.3613E+02   9.2961E-01   1.6341E+02   4.3878E+00  -1.0000E+00   4.3878E+00   3.4028E+00   4.3878E+00   2.8660E+00   4.3878E+00  -1.0000E+00
  0.1   6.9355E-02   4.9210E+01   9.0216E+01  -5.0406E+01   9.0558E+01   1.3143E+02   9.9306E-02  -1.3265E+02   4.5279E+00  -1.0000E+00   4.5279E+00   2.8768E+00   4.5279E+00   2.8660E+00   4.5279E+00  -1.0000E+00
    1   6.7914E-05  -1.3417E+02   1.0036E+02  -4.4462E+01   1.0019E+02   1.3545E+02   1.1560E-04   4.4773E+01   5.0178E+00  -1.0000E+00   5.0178E+00   2.8660E+00   5.0178E+00   2.8707E+00   5.0178E+00  -1.0000E+00
   10   2.5234E-11   4.7780E+01   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   5.1758E-11  -1.2844E+02   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   26   26       9.000000      -9.000000
  5
0.001   1.1359E+00  -3.7379E+01   6.7501E+01  -4.5557E+01   6.7501E+01   1.3444E+02   1.1359E+00   1.4262E+02   3.3750E+00  -1.0000E+00   3.3750E+00   2.8660E+00   3.3750E+00   2.8660E+00   3.3750E+00  -1.0000E+00
 0.01   6.2143E-01  -1.6683E+01   6.9095E+01  -4.6161E+01   6.9095E+01   1.3384E+02   6.2143E-01   1.6332E+02   3.4548E+00  -1.0000E+00   3.4548E+00   2.8660E+00   3.4548E+00   2.8660E+00   3.4548E+00  -1.0000E+00
  0.1   6.9348E-02   4.5600E+01   8.5544E+01  -5.1716E+01   8.5544E+01   1.2828E+02   6.9348E-02  -1.3440E+02   4.2772E+00  -1.0000E+00   4.2772E+00   2.8660E+00   4.2772E+00   2.8660E+00   4.2772E+00  -1.0000E+00
    1   8.7746E-05  -1.3929E+02   1.0135E+02  -4.4329E+01   1.0135E+02   1.3567E+02   8.7746E-05   4.0706E+01   5.0677E+00  -1.0000E+00   5.0677E+00   2.8660E+00   5.0677E+00   2.8660E+00   5.0677E+00  -1.0000E+00
   10   5.3766E-11   4.4033E+01   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   5.3766E-11  -1.3597E+02   5.0737E+00  -1.0000E+00   5.0737E+00   2.8660E+00   5.0737E+00   2.8660E+00   5.0737E+00  -1.0000E+00
   27   27       9.000000      -5.000000
  5
0.001   5.1807E-01  -3.7381E+01   6.4470E+01  -4.5532E+01   4.6979E+01   1.3317E+02   3.6681E-01   1.4270E+02   3.2235E+00  -1.0000E+00   3.2235E+00   2.8660E+00   3.2235E+00   3.9345E+00   3.2235E+00  -1.0000E+00
 0.01   2.8258E-01  -1.6891E+01   6.5592E+01  -4.6058E+01   5.3337E+01   1.3085E+02   1.9873E-01   1.6361E+02   3.2796E+00  -1.0000E+00   3.2796E+00   2.8660E+00   3.2796E+00   3.5252E+00   3.2796E+00  -1.0000E+00
  0.1   3.3047E-02   4.4091E+01   8.2300E+01  -5.2703E+01   8.1568E+01   1.2512E+02   2.2293E-02  -1.3387E+02   4.1150E+00  -1.0000E+00   4.1150E+00   2.8660E+00   4.1150E+00   2.8917E+00   4.1150E+00  -1.0000E+00
    1   4.5945E-05  -1.3816E+02   1.0209E+02  -4.4227E+01   1.0244E+02   1.3588E+02   2.4983E-05   4.3745E+01   5.1221E+00  -1.0000E+00   5.1221E+00   2.8759E+00   5.1221E+00   2.8660E+00   5.1221E+00  -1.0000E+00
   10   7.8822E-12   6.8604E+01   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   2.9240E-12  -1.1407E+02   5.0736E+00  -1.0000E+00   5.0736E+00   2.8660E+00   5.0736E+00   2.8660E+00   5.0736E+00  -1.0000E+00
   28   28       9.000000       5.000000
  5
0.001   5.1807E-01   1.4262E+02   6.4470E+01  -4.5532E+01   4.6979E+01   1.3317E+02   3.6681E-01  -3.7302E+01   3.2235E+00  -1.0000E+00   3.2235E+00   2.8660E+00   3.2235E+00   3.9345E+00   3.2235E+00  -1.0000E+00
 0.01   2.8258E-01   1.6311E+02   6.5592E+01  -4.6058E+01   5.3337E+01   1.3085E+02   1.9873E-01  -1.6387E+01   3.2796E+00  -1.0000E+00   3.2796E+00   2.8660E+00   3.2796E+00   3.5252E+00   3.2796E+00  -1.0000E+00
  0.1   3.3047E-02  -1.3591E+02   8.2300E+01  -5.2703E+01   8.1568E+01   1.2512E+02   2.2293E-02   4.6134E+01   4.1150E+00  -1.0000E+00   4.1150E+00   2.8660E+00   4.1150E+00   2.8917E+00   4.1150E+00  -1.0000E+00
    1   4.5945E-05   4.1838E+01   1.0209E+02  -4.4227E+01   1.0244E+02   1.3588E+02   2.4983E-05  -1.3626E+02   5.1221E+00  -1.0000E+00   5.1221E+00   2.8759E+00   5.1221E+00   2.8660E+00   5.1221E+00  -1.0000E+00
   10   7.8822E-12  -1.1140E+02   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   2.9240E-12   6.5927E+01   5.0736E+00  -1.0000E+00   5.0736E+00   2.8660E+00   5.0736E+00   2.8660E+00   5.0736E+00  -1.0000E+00
   29   29       9.000000       9.000000
  5
0.001   1.1359E+00   1.4262E+02   6.7501E+01  -4.5557E+01   6.7501E+01   1.3444E+02   1.1359E+00  -3.7379E+01   3.3750E+00  -1.0000E+00   3.3750E+00   2.8660E+00   3.3750E+00   2.8660E+00   3.3750E+00  -1.0000E+00
 0.01   6.2143E-01   1.6332E+02   6.9095E+01  -4.6161E+01   6.9095E+01   1.3384E+02   6.2143E-01  -1.6683E+01   3.4548E+00  -1.0000E+00   3.4548E+00   2.8660E+00   3.4548E+00   2.8660E+00   3.4548E+00  -1.0000E+00
  0.1   6.9348E-02  -1.3440E+02   8.5544E+01  -5.1716E+01   8.5544E+01   1.2828E+02   6.9348E-02   4.5600E+01   4.2772E+00  -1.0000E+00   4.2772E+00   2.8660E+00   4.2772E+00   2.8660E+00   4.2772E+00  -1.0000E+00
    1   8.7746E-05   4.0706E+01   1.0135E+02  -4.4329E+01   1.0135E+02   1.3567E+02   8.7746E-05  -1.3929E+02   5.0677E+00  -1.0000E+00   5.0677E+00   2.8660E+00   5.0677E+00   2.8660E+00   5.0677E+00  -1.0000E+00
   10   5.3766E-11  -1.3597E+02   1.0147E+02  -4.5832E+01   1.0147E+02   1.3417E+02   5.3766E-11   4.4033E+01   5.0737E+00  -1.0000E+00   5.0737E+00   2.8660E+00   5.0737E+00   2.8660E+00   5.0737E+00  -1.0000E+00
   30   30       9.000000      13.000000
  5
0.001   1.2443E+00   1.4271E+02   7.1656E+01  -4.5596E+01   9.2067E+01   1.3532E+02   1.6870E+00  -3.7401E+01   4.6033E+00  -1.0000E+00   4.6033E+00   3.6833E+00   4.6033E+00   2.8660E+00   4.6033E+00  -1.0000E+00
 0.01   6.7943E-01   1.6394E+02   7.3925E+01  -4.6309E+01   8.7757E+01   1.3613E+02   9.2961E-01  -1.6591E+01   4.3878E+00  -1.0000E+00   4.3878E+00   3.4028E+00   4.3878E+00   2.8660E+00   4.3878E+00  -1.0000E+00
  0.1   6.9355E-02  -1.3079E+02   9.0216E+01  -5.0406E+01   9.0558E+01   1.3143E+02   9.9306E-02   4.7354E+01   4.5279E+00  -1.0000E+00   4.5279E+00   2.8768E+00   4.5279E+00   2.8660E+00   4.5279E+00  -1.0000E+00
    1   6.7914E-05   4.5826E+01   1.0036E+02  -4.4462E+01   1.0019E+02   1.3545E+02   1.1560E-04  -1.3523E+02   5.0178E+00  -1.0000E+00   5.0178E+00   2.8660E+00   5.0178E+00   2.8707E+00   5.0178E+00  -1.0000E+00
   10   2.5234E-11  -1.3222E+02   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   5.1758E-11   5.1557E+01   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   31   31      13.000000     -13.000000
  5
0.001   1.8292E+00  -3.7275E+01   9.0614E+01  -4.4894E+01   9.0614E+01   1.3511E+02   1.8292E+00   1.4273E+02   4.5307E+00  -1.0000E+00   4.5307E+00   2.8660E+00   4.5307E+00   2.8660E+00   4.5307E+00  -1.0000E+00
 0.01   1.0015E+00  -1.5878E+01   8.8215E+01  -4.4477E+01   8.8215E+01   1.3552E+02   1.0015E+00   1.6412E+02   4.4108E+00  -1.0000E+00   4.4108E+00   2.8660E+00   4.4108E+00   2.8660E+00   4.4108E+00  -1.0000E+00
  0.1   9.8063E-02   5.0947E+01   9.3523E+01  -4.8106E+01   9.3523E+01   1.3189E+02   9.8063E-02  -1.2905E+02   4.6761E+00  -1.0000E+00   4.6761E+00   2.8660E+00   4.6761E+00   2.8660E+00   4.6761E+00  -1.0000E+00
    1   8.5934E-05  -1.3017E+02   9.9742E+01  -4.4626E+01   9.9742E+01   1.3537E+02   8.5934E-05   4.9832E+01   4.9871E+00  -1.0000E+00   4.9871E+00   2.8660E+00   4.9871E+00   2.8660E+00   4.9871E+00  -1.0000E+00
   10   2.4320E-11   5.4237E+01   1.0148E+02  -4.5831E+01   1.0148E+02   1.3417E+02   2.4320E-11  -1.2576E+02   5.0740E+00  -1.0000E+00   5.0740E+00   2.8660E+00   5.0740E+00   2.8660E+00   5.0740E+00  -1.0000E+00
   32   32      13.000000      -9.000000
  5
0.001   1.6870E+00  -3.7401E+01   9.2067E+01  -4.4680E+01   7.1656E+01   1.3440E+02   1.2443E+00   1.4271E+02   4.6033E+00  -1.0000E+00   4.6033E+00   2.8660E+00   4.6033E+00   3.6833E+00   4.6033E+00  -1.0000E+00
 0.01   9.2961E-01  -1.6591E+01   8.7757E+01  -4.3874E+01   7.3925E+01   1.3369E+02   6.7943E-01   1.6394E+02   4.3878E+00  -1.0000E+00   4.3878E+00   2.8660E+00   4.3878E+00   3.4028E+00   4.3878E+00  -1.0000E+00
  0.1   9.9306E-02   4.7354E+01   9.0558E+01  -4.8573E+01   9.0216E+01   1.2959E+02   6.9355E-02  -1.3079E+02   4.5279E+00  -1.0000E+00   4.5279E+00   2.8660E+00   4.5279E+00   2.8768E+00   4.5279E+00  -1.0000E+00
    1   1.1560E-04  -1.3523E+02   1.0019E+02  -4.4547E+01   1.0036E+02   1.3554E+02   6.7914E-05   4.5826E+01   5.0178E+00  -1.0000E+00   5.0178E+00   2.8707E+00   5.0178E+00   2.8660E+00   5.0178E+00  -1.0000E+00
   10   5.1758E-11   5.1557E+01   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   2.5234E-11  -1.3222E+02   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   33   33      13.000000      -5.000000
  5
0.001   7.8007E-01  -3.7440E+01   9.2861E+01  -4.4534E+01   5.5291E+01   1.3350E+02   4.2258E-01   1.4276E+02   4.6431E+00  -1.0000E+00   4.6431E+00   2.8660E+00   4.6431E+00   4.8171E+00   4.6431E+00  -1.0000E+00
 0.01   4.3027E-01  -1.6873E+01   8.7213E+01  -4.3453E+01   6.1475E+01   1.3150E+02   2.2927E-01   1.6417E+02   4.3606E+00  -1.0000E+00   4.3606E+00   2.8660E+00   4.3606E+00   4.0676E+00   4.3606E+00  -1.0000E+00
  0.1   4.8083E-02   4.5853E+01   8.8415E+01  -4.8940E+01   8.7526E+01   1.2734E+02   2.3504E-02  -1.3033E+02   4.4207E+00  -1.0000E+00   4.4207E+00   2.8660E+00   4.4207E+00   2.8951E+00   4.4207E+00  -1.0000E+00
    1   6.2811E-05  -1.3423E+02   1.0053E+02  -4.4484E+01   1.0093E+02   1.3570E+02   2.1338E-05   4.9305E+01   5.0467E+00  -1.0000E+00   5.0467E+00   2.8775E+00   5.0467E+00   2.8660E+00   5.0467E+00  -1.0000E+00
   10   8.1576E-12   7.7079E+01   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   1.7673E-12  -1.0482E+02   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   34   34      13.000000       5.000000
  5
0.001   7.8007E-01   1.4256E+02   9.2861E+01  -4.4534E+01   5.5291E+01   1.3350E+02   4.2258E-01  -3.7245E+01   4.6431E+00  -1.0000E+00   4.6431E+00   2.8660E+00   4.6431E+00   4.8171E+00   4.6431E+00  -1.0000E+00
 0.01   4.3027E-01   1.6313E+02   8.7213E+01  -4.3453E+01   6.1475E+01   1.3150E+02   2.2927E-01  -1.5835E+01   4.3606E+00  -1.0000E+00   4.3606E+00   2.8660E+00   4.3606E+00   4.0676E+00   4.3606E+00  -1.0000E+00
  0.1   4.8083E-02  -1.3415E+02   8.8415E+01  -4.8940E+01   8.7526E+01   1.2734E+02   2.3504E-02   4.9671E+01   4.4207E+00  -1.0000E+00   4.4207E+00   2.8660E+00   4.4207E+00   2.8951E+00   4.4207E+00  -1.0000E+00
    1   6.2811E-05   4.5774E+01   1.0053E+02  -4.4484E+01   1.0093E+02   1.3570E+02   2.1338E-05  -1.3069E+02   5.0467E+00  -1.0000E+00   5.0467E+00   2.8775E+00   5.0467E+00   2.8660E+00   5.0467E+00  -1.0000E+00
   10   8.1576E-12  -1.0292E+02   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   1.7673E-12   7.5179E+01   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   35   35      13.000000       9.000000
  5
0.001   1.6870E+00   1.4260E+02   9.2067E+01  -4.4680E+01   7.1656E+01   1.3440E+02   1.2443E+00  -3.7293E+01   4.6033E+00  -1.0000E+00   4.6033E+00   2.8660E+00   4.6033E+00   3.6833E+00   4.6033E+00  -1.0000E+00
 0.01   9.2961E-01   1.6341E+02   8.7757E+01  -4.3874E+01   7.3925E+01   1.3369E+02   6.7943E-01  -1.6055E+01   4.3878E+00  -1.0000E+00   4.3878E+00   2.8660E+00   4.3878E+00   3.4028E+00   4.3878E+00  -1.0000E+00
  0.1   9.9306E-02  -1.3265E+02   9.0558E+01  -4.8573E+01   9.0216E+01   1.2959E+02   6.9355E-02   4.9210E+01   4.5279E+00  -1.0000E+00   4.5279E+00   2.8660E+00   4.5279E+00   2.8768E+00   4.5279E+00  -1.0000E+00
    1   1.1560E-04   4.4773E+01   1.0019E+02  -4.4547E+01   1.0036E+02   1.3554E+02   6.7914E-05  -1.3417E+02   5.0178E+00  -1.0000E+00   5.0178E+00   2.8707E+00   5.0178E+00   2.8660E+00   5.0178E+00  -1.0000E+00
   10   5.1758E-11  -1.2844E+02   1.0148E+02  -4.5832E+01   1.0148E+02   1.3417E+02   2.5234E-11   4.7780E+01   5.0739E+00  -1.0000E+00   5.0739E+00   2.8660E+00   5.0739E+00   2.8660E+00   5.0739E+00  -1.0000E+00
   36   36      13.000000      13.000000
  5
0.001   1.8292E+00   1.4273E+02   9.0614E+01  -4.4894E+01   9.0614E+01   1.3511E+02   1.8292E+00  -3.7275E+01   4.5307E+00  -1.0000E+00   4.5307E+00   2.8660E+00   4.5307E+00   2.8660E+00   4.5307E+00  -1.0000E+00
 0.01   1.0015E+00   1.6412E+02   8.8215E+01  -4.4477E+01   8.8215E+01   1.3552E+02   1.0015E+00  -1.5878E+01   4.4108E+00  -1.0000E+00   4.4108E+00   2.8660E+00   4.4108E+00   2.8660E+00   4.4108E+00  -1.0000E+00
  0.1   9.8063E-02  -1.2905E+02   9.3523E+01  -4.8106E+01   9.3523E+01   1.3189E+02   9.8063E-02   5.0947E+01   4.6761E+00  -1.0000E+00   4.6761E+00   2.8660E+00   4.6761E+00   2.8660E+00   4.6761E+00  -1.0000E+00
    1   8.5934E-05   4.9832E+01   9.9742E+01  -4.4626E+01   9.9742E+01   1.3537E+02   8.5934E-05  -1.3017E+02   4.9871E+00  -1.0000E+00   4.9871E+00   2.8660E+00   4.9871E+00   2.8660E+00   4.9871E+00  -1.0000E+00
   10   2.4320E-11  -1.2576E+02   1.0148E+02  -4.5831E+01   1.0148E+02   1.3417E+02   2.4320E-11   5.4237E+01   5.0740E+00  -1.0000E+00   5.0740E+00   2.8660E+00   5.0740E+00   2.8660E+00   5.0740E+00  -1.0000E+00
END
