APP_RES_AND_PHS    36
    1    1     -12.666000     -12.666000
  4
0.001  1.7668E-01  1.4335E+02  9.4361E+00 -4.5018E+01  5.9870E-01  1.3493E+02  1.4266E-02 -3.7372E+01 -1.0000E+00 -1.0000E+00  4.7181E-01  2.8660E+00  4.7181E-01  5.2004E+01 -1.0000E+00 -1.0000E+00
 0.01  9.6099E-02  1.6679E+02  9.3051E+00 -4.5096E+01  5.9287E-01  1.3469E+02  7.9021E-03 -1.6564E+01 -1.0000E+00 -1.0000E+00  4.6525E-01  2.8660E+00  4.6525E-01  5.1697E+01 -1.0000E+00 -1.0000E+00
  0.1  1.8012E-02 -1.1893E+02  1.0492E+01 -5.0766E+01  6.8081E-01  1.2862E+02  9.3918E-04  4.2674E+01 -1.0000E+00 -1.0000E+00  5.2459E-01  2.8660E+00  5.2459E-01  5.0402E+01 -1.0000E+00 -1.0000E+00
    1  1.8517E-02 -8.4682E+01  1.3473E+01 -5.1082E+01  9.3428E-01  1.2706E+02  5.7639E-04  6.2494E+01 -1.0000E+00 -1.0000E+00  6.7367E-01  2.8660E+00  6.7367E-01  4.6142E+01 -1.0000E+00 -1.0000E+00
    2    2     -12.666000      -8.666000
  4
0.001  6.4950E-02  1.4367E+02  3.3718E+00 -4.4988E+01  2.2875E+00  1.3402E+02  5.6210E-02 -3.6457E+01 -1.0000E+00 -1.0000E+00  1.6859E-01  2.8660E+00  1.6859E-01  4.2266E+00 -1.0000E+00 -1.0000E+00
 0.01  3.5481E-02  1.6815E+02  3.2996E+00 -4.5093E+01  2.4409E+00  1.3225E+02  3.0756E-02 -1.1967E+01 -1.0000E+00 -1.0000E+00  1.6498E-01  2.8660E+00  1.6498E-01  3.8756E+00 -1.0000E+00 -1.0000E+00
  0.1  1.3183E-02 -1.1619E+02  3.8147E+00 -5.3038E+01  3.3628E+00  1.2492E+02  1.2938E-02  6.1234E+01 -1.0000E+00 -1.0000E+00  1.9074E-01  2.8660E+00  1.9074E-01  3.2515E+00 -1.0000E+00 -1.0000E+00
    1  3.7638E-02 -9.2771E+01  5.8068E+00 -5.5413E+01  5.3763E+00  1.2287E+02  5.4988E-02  8.4407E+01 -1.0000E+00 -1.0000E+00  2.9034E-01  2.8660E+00  2.9034E-01  3.0957E+00 -1.0000E+00 -1.0000E+00
    3    3     -12.666000      -4.666000
  4
0.001  9.5846E-01  1.4812E+02  2.2388E+02 -4.4937E+01  7.1624E+00  1.3302E+02  8.7613E-02 -3.6836E+01 -1.0000E+00 -1.0000E+00  1.1194E+01  2.8660E+00  1.1194E+01 -1.0000E+00 -1.0000E+00 -1.0000E+00
